patient_id,dose,viability,log_dose
ACH-000768,0.00390625,0.6618408130407751,-5.545177444479562
ACH-000456,1.0,0.3260927094864432,0.0
ACH-000456,0.25,0.3513643328384633,-1.3862943611198906
ACH-000456,0.0625,0.3670142377822275,-2.772588722239781
ACH-000456,0.015625,0.4599471693745296,-4.1588830833596715
ACH-000456,0.00390625,0.636436160328683,-5.545177444479562
ACH-000835,1.0,0.5447319475667963,0.0
ACH-000835,0.25,0.7277899021364492,-1.3862943611198906
ACH-000835,0.0625,0.8098334463971185,-2.772588722239781
ACH-000835,0.015625,0.8746934044773259,-4.1588830833596715
ACH-000835,0.00390625,0.7592853557554536,-5.545177444479562
ACH-000450,1.0,0.1493818201349151,0.0
ACH-000450,0.25,0.1534227557297884,-1.3862943611198906
ACH-000450,0.0625,0.1592451790600359,-2.772588722239781
ACH-000450,0.015625,0.1681395824607946,-4.1588830833596715
ACH-000450,0.00390625,0.1993069276457688,-5.545177444479562
ACH-000572,1.0,0.1763520464265319,0.0
ACH-000572,0.25,0.2156467967025292,-1.3862943611198906
ACH-000572,0.0625,0.2167041014294267,-2.772588722239781
ACH-000572,0.015625,0.2474817194073056,-4.1588830833596715
ACH-000572,0.00390625,0.3300793295133565,-5.545177444479562
ACH-000750,1.0,0.0206891426052869,0.0
ACH-000750,0.25,0.0457945006283293,-1.3862943611198906
ACH-000750,0.0625,0.1813704839988533,-2.772588722239781
ACH-000750,0.015625,0.3002731083545324,-4.1588830833596715
ACH-000750,0.00390625,0.3510255269220038,-5.545177444479562
ACH-000327,1.0,0.6153249489748921,0.0
ACH-000327,0.25,0.6830133682099616,-1.3862943611198906
ACH-000327,0.0625,0.8678854304995278,-2.772588722239781
ACH-000327,0.015625,0.7822593759524701,-4.1588830833596715
ACH-000327,0.00390625,0.960939648698699,-5.545177444479562
ACH-000895,1.0,0.1804271332914623,0.0
ACH-000895,0.25,0.1800015248039614,-1.3862943611198906
ACH-000895,0.0625,0.1947930025860992,-2.772588722239781
ACH-000895,0.015625,0.2521298524460514,-4.1588830833596715
ACH-000895,0.00390625,0.2311533336356365,-5.545177444479562
ACH-000441,1.0,0.0657446007140501,0.0
ACH-000441,0.25,0.0736435278406677,-1.3862943611198906
ACH-000441,0.0625,0.0911001567904925,-2.772588722239781
ACH-000441,0.015625,0.1256281011717705,-4.1588830833596715
ACH-000441,0.00390625,0.1915475378947818,-5.545177444479562
ACH-000401,1.0,0.857102275202969,0.0
ACH-000401,0.25,0.8410901068518661,-1.3862943611198906
ACH-000401,0.0625,0.9650903480538509,-2.772588722239781
ACH-000401,0.015625,0.9534359305914576,-4.1588830833596715
ACH-000401,0.00390625,0.8836299392269967,-5.545177444479562
ACH-000956,1.0,0.8196475812377211,0.0
ACH-000956,0.25,0.7744827208220199,-1.3862943611198906
